,item,pr_tb_id,tb_id0
269,269,119.0,119.0
270,270,116.0,116.0
271,271,113.0,113.0
272,272,115.0,115.0
273,273,114.0,114.0
274,274,120.0,120.0
275,275,114.0,114.0
276,276,112.0,112.0
277,277,110.0,110.0
278,278,115.0,115.0
279,279,114.0,114.0
280,280,116.0,116.0
281,281,111.0,111.0
282,282,110.0,110.0
283,283,121.0,121.0
284,284,112.0,112.0
285,285,122.0,122.0
286,286,123.0,123.0
287,287,110.0,110.0
288,288,109.0,109.0
289,289,112.0,112.0
290,290,116.0,116.0
291,291,124.0,124.0
292,292,124.0,124.0
293,293,124.0,124.0
294,294,125.0,125.0
295,295,126.0,126.0
296,296,127.0,127.0
297,297,128.0,128.0
298,298,129.0,129.0
299,299,129.0,129.0
300,300,128.0,128.0
301,301,129.0,129.0
302,302,130.0,130.0
303,303,131.0,131.0
304,304,132.0,132.0
305,305,133.0,133.0
306,306,134.0,134.0
307,307,135.0,135.0
308,308,136.0,136.0
309,309,129.0,129.0
310,310,124.0,124.0
311,311,128.0,128.0
312,312,124.0,124.0
313,313,129.0,129.0
314,314,129.0,129.0
315,315,137.0,137.0
316,316,138.0,138.0
317,317,124.0,124.0
318,318,128.0,128.0
319,319,128.0,128.0
320,320,139.0,139.0
321,321,128.0,128.0
322,322,140.0,140.0
323,323,141.0,141.0
324,324,142.0,142.0
325,325,143.0,143.0
326,326,144.0,144.0
327,327,145.0,145.0
328,328,146.0,146.0
329,329,147.0,147.0
330,330,148.0,148.0
331,331,149.0,149.0
332,332,150.0,150.0
333,333,151.0,151.0
334,334,152.0,152.0
335,335,153.0,153.0
336,336,154.0,154.0
337,337,155.0,155.0
338,338,156.0,156.0
339,339,157.0,157.0
340,340,158.0,158.0
341,341,159.0,159.0
342,342,160.0,160.0
343,343,161.0,161.0
344,344,162.0,162.0
345,345,163.0,163.0
346,346,164.0,164.0
347,347,165.0,165.0
348,348,166.0,166.0
349,349,167.0,167.0
350,350,168.0,168.0
351,351,169.0,169.0
352,352,170.0,170.0
353,353,171.0,171.0
354,354,172.0,172.0
355,355,173.0,173.0
356,356,174.0,174.0
357,357,175.0,175.0
358,358,176.0,176.0
359,359,177.0,177.0
360,360,178.0,178.0
361,361,179.0,179.0
362,362,180.0,180.0
363,363,181.0,181.0
364,364,182.0,182.0
365,365,183.0,183.0
366,366,184.0,184.0
367,367,185.0,185.0
368,368,186.0,186.0
369,369,187.0,187.0
370,370,188.0,188.0
371,371,189.0,189.0
372,372,190.0,190.0
373,373,191.0,191.0
374,374,192.0,192.0
375,375,193.0,193.0
376,376,194.0,194.0
377,377,195.0,195.0
378,378,196.0,196.0
379,379,197.0,197.0
